Time(s),DopplerOffset(Hz)
1770477251.933515,17457.666015625
1770477252.933515,17206.326171875
1770477253.933515,16951.2421875
1770477254.933515,16694.72265625
1770477255.933515,16438.9921875
1770477256.933515,16177.2548828125
1770477257.933515,15913.984375
1770477258.933515,15650.2216796875
1770477259.933515,15382.732421875
1770477260.933515,15112.955078125
1770477261.933515,14841.21875
1770477262.933515,14567.7314453125
1770477263.933515,14292.978515625
1770477264.933515,14015.736328125
1770477265.933515,13735.3095703125
1770477266.933515,13452.4072265625
1770477267.933515,13167.5341796875
1770477268.933515,12882.4560546875
1770477269.933515,12594.984375
1770477270.933515,12306.2578125
1770477271.933515,12012.5615234375
1770477272.933515,11715.71484375
1770477273.933515,11421.3955078125
1770477274.933515,11122.2978515625
1770477275.933515,10821.134765625
1770477276.933515,10517.62109375
1770477277.933515,10212.869140625
1770477278.933515,9907.0498046875
1770477279.933515,9598.5322265625
1770477280.933515,9288.14453125
1770477281.933515,8976.4580078125
1770477282.933515,8662.0439453125
1770477283.933515,8344.962890625
1770477284.933515,8027.3037109375
1770477285.933515,7706.72216796875
1770477286.933515,7384.00830078125
1770477287.933515,7060.36279296875
1770477288.933515,6735.75927734375
1770477289.933515,6408.6767578125
1770477290.933515,6079.97705078125
1770477291.933515,5750.18798828125
1770477292.933515,5417.21875
1770477293.933515,5082.970703125
1770477294.933515,4747.4697265625
1770477295.933515,4411.02392578125
1770477296.933515,4073.260986328125
1770477297.933515,3732.7177734375
1770477298.933515,3392.250244140625
1770477299.933515,3049.8076171875
1770477300.933515,2705.0556640625
1770477301.933515,2360.607421875
1770477302.933515,2014.7618408203125
1770477303.933515,1667.89990234375
1770477304.933515,1317.52490234375
1770477305.933515,967.5689697265625
1770477306.933515,616.0559692382812
1770477307.933515,264.2196350097656
1770477308.933515,-87.8697738647461
1770477309.933515,-442.0711975097656
1770477310.933515,-796.2224731445312
1770477311.933515,-1152.984375
1770477312.933515,-1509.852783203125
1770477313.933515,-1866.8955078125
1770477314.933515,-2224.2353515625
1770477315.933515,-2584.47021484375
1770477316.933515,-2944.168701171875
1770477317.933515,-3304.051025390625
1770477318.933515,-3664.698974609375
1770477319.933515,-4025.613037109375
1770477320.933515,-4388.46337890625
1770477321.933515,-4751.18896484375
1770477322.933515,-5111.8876953125
1770477323.933515,-5474.78173828125
1770477324.933515,-5838.65869140625
1770477325.933515,-6202.32080078125
1770477326.933515,-6565.53759765625
1770477327.933515,-6927.48046875
1770477328.933515,-7291.28564453125
1770477329.933515,-7655.677734375
1770477330.933515,-8018.93994140625
1770477331.933515,-8382.2587890625
1770477332.933515,-8744.7236328125
1770477333.933515,-9107.70703125
1770477334.933515,-9470.7939453125
1770477335.933515,-9832.724609375
1770477336.933515,-10193.6982421875
