Time(s),DopplerOffset(Hz)
1770549361.178782,20336.642578125
1770549362.178782,20131.2734375
1770549363.178782,19923.57421875
1770549364.178782,19716.57421875
1770549365.178782,19498.763671875
1770549366.178782,19298.603515625
1770549367.178782,19072.560546875
1770549368.178782,18840.169921875
1770549369.178782,18651.48046875
1770549370.178782,18434.29296875
1770549371.178782,18213.603515625
1770549372.178782,17990.84375
1770549373.178782,17767.171875
1770549374.178782,17542.2578125
1770549375.178782,17315.140625
1770549376.178782,17087.041015625
1770549377.178782,16858.234375
1770549378.178782,16627.28515625
1770549379.178782,16393.10546875
1770549380.178782,16158.4111328125
1770549381.178782,15921.3037109375
1770549382.178782,15681.900390625
1770549383.178782,15441.923828125
1770549384.178782,15200.654296875
1770549385.178782,14957.228515625
1770549386.178782,14712.2451171875
1770549387.178782,14465.5927734375
1770549388.178782,14216.8115234375
1770549389.178782,13965.31640625
1770549390.178782,13712.4453125
1770549391.178782,13459.853515625
1770549392.178782,13205.0830078125
1770549393.178782,12949.03125
1770549394.178782,12690.2294921875
1770549395.178782,12430.04296875
1770549396.178782,12167.8583984375
1770549397.178782,11904.8837890625
1770549398.178782,11640.2255859375
1770549399.178782,11373.12109375
1770549400.178782,11105.572265625
1770549401.178782,10835.24609375
1770549402.178782,10563.8994140625
1770549403.178782,10290.9404296875
1770549404.178782,10015.8115234375
1770549405.178782,9740.5947265625
1770549406.178782,9463.2294921875
1770549407.178782,9184.1318359375
1770549408.178782,8904.05078125
1770549409.178782,8622.8115234375
1770549410.178782,8338.240234375
1770549411.178782,8052.9326171875
1770549412.178782,7767.26611328125
1770549413.178782,7480.982421875
1770549414.178782,7193.50732421875
1770549415.178782,6900.89013671875
1770549416.178782,6607.67041015625
1770549417.178782,6315.47802734375
1770549418.178782,6021.677734375
1770549419.178782,5726.4140625
1770549420.178782,5429.763671875
1770549421.178782,5130.4833984375
1770549422.178782,4831.57861328125
1770549423.178782,4532.3984375
1770549424.178782,4231.060546875
1770549425.178782,3926.58984375
1770549426.178782,3621.715087890625
1770549427.178782,3316.42626953125
1770549428.178782,3011.688232421875
1770549429.178782,2705.012451171875
1770549430.178782,2395.81494140625
1770549431.178782,2085.945556640625
1770549432.178782,1777.5208740234375
1770549433.178782,1466.853271484375
1770549434.178782,1154.178466796875
1770549435.178782,840.9197998046875
1770549436.178782,526.9247436523438
1770549437.178782,262.7227478027344
1770549438.178782,81.24404907226562
1770549439.178782,-65.90792846679688
1770549440.178782,-737.2147827148438
1770549441.178782,-1053.5657958984375
1770549442.178782,-1369.74169921875
1770549443.178782,-1688.9788818359375
1770549444.178782,-2009.4036865234375
1770549445.178782,-2328.741943359375
