Time(s),DopplerOffset(Hz)
1770474272.7520509,22279.26953125
1770474273.7520509,21995.3984375
1770474274.7520509,21707.466796875
1770474275.7520509,21417.810546875
1770474276.7520509,21127.353515625
1770474277.7520509,20835.63671875
1770474278.7520509,20541.916015625
1770474279.7520509,20245.453125
1770474280.7520509,19946.912109375
1770474281.7520509,19647.2265625
1770474282.7520509,19344.36328125
1770474283.7520509,19036.546875
1770474284.7520509,18730.203125
1770474285.7520509,18422.107421875
1770474286.7520509,18113.478515625
1770474287.7520509,17802.3125
1770474288.7520509,17485.689453125
1770474289.7520509,17166.951171875
1770474290.7520509,16848.244140625
1770474291.7520509,16528.255859375
1770474292.7520509,16208.3232421875
1770474293.7520509,15885.1552734375
1770474294.7520509,15561.28125
1770474295.7520509,15232.2841796875
1770474296.7520509,14900.32421875
1770474297.7520509,14571.2255859375
1770474298.7520509,14240.15625
1770474299.7520509,13906.3681640625
1770474300.7520509,13570.263671875
1770474301.7520509,13234.3466796875
1770474302.7520509,12898.6884765625
1770474303.7520509,12556.951171875
1770474304.7520509,12211.294921875
1770474305.7520509,11869.40234375
1770474306.7520509,11528.1474609375
1770474307.7520509,11183.4111328125
1770474308.7520509,10837.7763671875
1770474309.7520509,10488.619140625
1770474310.7520509,10136.62890625
1770474311.7520509,9785.9677734375
1770474312.7520509,9435.1484375
1770474313.7520509,9082.8125
1770474314.7520509,8729.1728515625
1770474315.7520509,8371.486328125
1770474316.7520509,8014.80859375
1770474317.7520509,7660.2705078125
1770474318.7520509,7302.68359375
1770474319.7520509,6943.138671875
1770474320.7520509,6583.95068359375
1770474321.7520509,6223.6884765625
1770474322.7520509,5862.66650390625
1770474323.7520509,5500.3779296875
1770474324.7520509,5134.80810546875
1770474325.7520509,4770.716796875
1770474326.7520509,4407.3974609375
1770474327.7520509,4041.596435546875
1770474328.7520509,3732.985595703125
1770474329.7520509,3320.01708984375
1770474330.7520509,2950.851806640625
1770474331.7520509,2582.595703125
1770474332.7520509,2217.218994140625
1770474333.7520509,1851.5635986328125
1770474334.7520509,1485.54931640625
1770474335.7520509,1116.8079833984375
1770474336.7520509,749.96337890625
1770474337.7520509,508.837890625
1770474338.7520509,748.5513305664062
1770474339.7520509,945.4439697265625
1770474340.7520509,-575.5408325195312
1770474341.7520509,-1079.106201171875
1770474342.7520509,-1447.299072265625
